Tempo [s];L-L0 [mm];Força [N];Epsilon;;;L0 [mm]
40,65;0,046323;1753,1;0,00092646;;;
41;0,047279;1765,9;0,00094558;;;
41,317;0,047756;1778,8;0,00095512;;;
41,633;0,048234;1791,6;0,00096468;;;
42,017;0,048711;1804,5;0,00097422;;;
42,367;0,049189;1817,3;0,00098378;;;
42,717;0,050144;1830,1;0,00100288;;;
43,1;0,050622;1843;0,00101244;;;
43,417;0,051099;1855,8;0,00102198;;;
43,8;0,052054;1868,7;0,00104108;;;
44,167;0,052054;1881,5;0,00104108;;;
44,517;0,053009;1894,4;0,00106018;;;
44,883;0,053964;1907,2;0,00107928;;;
45,233;0,054442;1920;0,00108884;;;
45,633;0,05492;1932,9;0,0010984;;;
46,033;0,055397;1945,7;0,00110794;;;
46,333;0,056352;1958,6;0,00112704;;;
46,75;0,05683;1971,4;0,0011366;;;
47,1;0,057785;1984,3;0,0011557;;;
47,5;0,05874;1997,1;0,0011748;;;
47,85;0,059218;2009,9;0,00118436;;;
48,25;0,059695;2022,8;0,0011939;;;
48,633;0,06065;2035,6;0,001213;;;
48,983;0,061605;2048,5;0,0012321;;;
49,333;0,062083;2061,3;0,00124166;;;
49,683;0,063038;2074,2;0,00126076;;;
50,033;0,063516;2087;0,00127032;;;
50,467;0,064471;2099,8;0,00128942;;;
50,85;0,065426;2112,7;0,00130852;;;
51,217;0,066381;2125,5;0,00132762;;;
51,65;0,067336;2138,4;0,00134672;;;
52,017;0,067814;2151,2;0,00135628;;;
52,417;0,068769;2164,1;0,00137538;;;
52,867;0,069724;2176,9;0,00139448;;;
53,25;0,070202;2189,7;0,00140404;;;
53,683;0,071157;2202,6;0,00142314;;;
54,05;0,072589;2215,4;0,00145178;;;
54,5;0,073544;2228,3;0,00147088;;;
54,883;0,074022;2241,1;0,00148044;;;
55,267;0,075455;2254;0,0015091;;;
55,7;0,075932;2266,8;0,00151864;;;
56,083;0,077365;2279,7;0,0015473;;;
56,483;0,07832;2292,5;0,0015664;;;
56,867;0,079275;2305,3;0,0015855;;;
57,3;0,08023;2318,2;0,0016046;;;
57,75;0,081663;2331;0,00163326;;;
58,2;0,082618;2343,9;0,00165236;;;
58,633;0,083573;2356,7;0,00167146;;;
59,067;0,085006;2369,6;0,00170012;;;
59,5;0,085961;2382,4;0,00171922;;;
60;0,087394;2392;0,00174788;;;
60,35;0,088349;2404,9;0,00176698;;;
60,85;0,089304;2417,7;0,00178608;;;
61,35;0,090737;2427,3;0,00181474;;;
61,783;0,092169;2440,2;0,00184338;;;
62,283;0,093602;2449,8;0,00187204;;;
62,783;0,095512;2459,5;0,00191024;;;
63,233;0,096467;2472,3;0,00192934;;;
63,733;0,0979;2481,9;0,001958;;;
64,233;0,09981;2488,4;0,0019962;;;
64,733;0,10124;2501,2;0,0020248;;;
65,217;0,10315;2510,8;0,002063;;;
65,717;0,10459;2517,2;0,0020918;;;
66,217;0,10602;2526,9;0,0021204;;;
66,65;0,10793;2536,5;0,0021586;;;
67,15;0,10936;2539,7;0,0021872;;;
67,55;0,11127;2549,4;0,0022254;;;
68,05;0,1127;2555,8;0,002254;;;
68,483;0,11461;2562,2;0,0022922;;;
68,95;0,11652;2571,8;0,0023304;;;
69,417;0,11844;2578,3;0,0023688;;;
69,817;0,12035;2584,7;0,002407;;;
70,317;0,12178;2591,1;0,0024356;;;
70,717;0,12369;2597,5;0,0024738;;;
71,15;0,1256;2603,9;0,002512;;;
71,65;0,12751;2607,1;0,0025502;;;
72,1;0,12942;2613,6;0,0025884;;;
72,55;0,13133;2620;0,0026266;;;
73;0,13324;2626,4;0,0026648;;;
73,467;0,13515;2629,6;0,002703;;;
73,9;0,13706;2636;0,0027412;;;
74,3;0,13897;2639,3;0,0027794;;;
74,717;0,14088;2642,5;0,0028176;;;
75,067;0,14279;2648,9;0,0028558;;;
75,483;0,1447;2652,1;0,002894;;;
75,867;0,14661;2658,5;0,0029322;;;
76,233;0,14852;2658,5;0,0029704;;;
76,55;0,15043;2664,9;0,0030086;;;
76,933;0,15234;2668,2;0,0030468;;;
77,233;0,15425;2668,2;0,003085;;;
77,567;0,15616;2671,4;0,0031232;;;
77,917;0,15807;2677,8;0,0031614;;;
78,233;0,15998;2677,8;0,0031996;;;
78,533;0,16189;2681;0,0032378;;;
78,867;0,1638;2684,2;0,003276;;;
