Tempo [s];L-L0 [mm];Força [N];Epsilon;;;L0 [mm]
219,1;1,8983;2941,1;0,037966;;;
219,6;1,9045;2941,1;0,03809;;;
220,1;1,9102;2941,1;0,038204;;;
220,6;1,9165;2941,1;0,03833;;;
221,1;1,9227;2941,1;0,038454;;;
221,6;1,9289;2944,3;0,038578;;;
222,1;1,9351;2941,1;0,038702;;;
222,6;1,9413;2944,3;0,038826;;;
223,1;1,947;2944,3;0,03894;;;
223,6;1,9532;2944,3;0,039064;;;
224,1;1,9594;2947,5;0,039188;;;
224,6;1,9652;2947,5;0,039304;;;
225,1;1,9714;2947,5;0,039428;;;
225,6;1,9776;2947,5;0,039552;;;
226,1;1,9838;2947,5;0,039676;;;
226,6;1,99;2947,5;0,0398;;;
227,1;1,9962;2947,5;0,039924;;;
227,6;2,0024;2950,7;0,040048;;;
228,1;2,0086;2950,7;0,040172;;;
228,6;2,0144;2947,5;0,040288;;;
229,1;2,0206;2947,5;0,040412;;;
229,6;2,0268;2950,7;0,040536;;;
230,1;2,033;2950,7;0,04066;;;
230,6;2,0387;2950,7;0,040774;;;
231,1;2,0449;2950,7;0,040898;;;
231,6;2,0511;2950,7;0,041022;;;
232,1;2,0573;2953,9;0,041146;;;
232,6;2,0635;2953,9;0,04127;;;
233,1;2,0693;2950,7;0,041386;;;
233,6;2,0755;2953,9;0,04151;;;
234,1;2,0822;2953,9;0,041644;;;
234,6;2,0879;2953,9;0,041758;;;
235,1;2,0941;2953,9;0,041882;;;
235,6;2,1003;2957,1;0,042006;;;
236,1;2,1065;2953,9;0,04213;;;
236,6;2,1127;2953,9;0,042254;;;
237,1;2,1189;2957,1;0,042378;;;
237,6;2,1251;2957,1;0,042502;;;
238,1;2,1314;2957,1;0,042628;;;
238,6;2,1376;2957,1;0,042752;;;
239,1;2,1438;2957,1;0,042876;;;
239,6;2,1495;2957,1;0,04299;;;
240,1;2,1562;2957,1;0,043124;;;
240,6;2,1619;2960,3;0,043238;;;
241,1;2,1681;2957,1;0,043362;;;
241,6;2,1743;2957,1;0,043486;;;
242,1;2,1805;2960,3;0,04361;;;
242,6;2,1868;2960,3;0,043736;;;
243,1;2,193;2960,3;0,04386;;;
243,6;2,1992;2960,3;0,043984;;;
244,1;2,2054;2960,3;0,044108;;;
244,6;2,2116;2960,3;0,044232;;;
245,1;2,2178;2960,3;0,044356;;;
245,6;2,224;2960,3;0,04448;;;
246,1;2,2307;2963,5;0,044614;;;
246,6;2,2369;2963,5;0,044738;;;
247,1;2,2431;2963,5;0,044862;;;
247,6;2,2493;2963,5;0,044986;;;
248,1;2,2555;2963,5;0,04511;;;
248,6;2,2617;2963,5;0,045234;;;
249,1;2,2679;2963,5;0,045358;;;
249,6;2,2741;2963,5;0,045482;;;
250,1;2,2804;2966,8;0,045608;;;
250,6;2,2861;2963,5;0,045722;;;
251,1;2,2928;2963,5;0,045856;;;
251,6;2,2985;2966,8;0,04597;;;
252,1;2,3052;2966,8;0,046104;;;
252,6;2,3109;2966,8;0,046218;;;
253,1;2,3176;2966,8;0,046352;;;
253,6;2,3233;2966,8;0,046466;;;
254,1;2,33;2966,8;0,0466;;;
254,6;2,3362;2970;0,046724;;;
255,1;2,3429;2966,8;0,046858;;;
255,6;2,3486;2970;0,046972;;;
256,1;2,3553;2970;0,047106;;;
256,6;2,3615;2966,8;0,04723;;;
257,1;2,3677;2970;0,047354;;;
257,6;2,374;2970;0,04748;;;
258,1;2,3806;2970;0,047612;;;
258,6;2,3864;2970;0,047728;;;
259,1;2,3931;2970;0,047862;;;
259,6;2,3993;2970;0,047986;;;
260,1;2,4055;2970;0,04811;;;
260,6;2,4112;2970;0,048224;;;
261,1;2,4174;2970;0,048348;;;
261,6;2,4241;2970;0,048482;;;
262,1;2,4303;2973,2;0,048606;;;
262,6;2,4365;2970;0,04873;;;
263,1;2,4427;2973,2;0,048854;;;
263,6;2,4489;2973,2;0,048978;;;
264,1;2,4551;2973,2;0,049102;;;
264,6;2,4618;2973,2;0,049236;;;
265,1;2,468;2973,2;0,04936;;;
265,6;2,4742;2973,2;0,049484;;;
266,1;2,4805;2973,2;0,04961;;;
266,6;2,4867;2973,2;0,049734;;;
267,1;2,4933;2976,4;0,049866;;;
267,6;2,4996;2973,2;0,049992;;;
268,1;2,5058;2976,4;0,050116;;;
268,6;2,5125;2976,4;0,05025;;;
269,1;2,5187;2976,4;0,050374;;;
269,6;2,5249;2976,4;0,050498;;;
270,1;2,5311;2976,4;0,050622;;;
270,6;2,5378;2976,4;0,050756;;;
271,1;2,544;2976,4;0,05088;;;
271,6;2,5502;2976,4;0,051004;;;
272,1;2,5569;2973,2;0,051138;;;
272,6;2,5631;2976,4;0,051262;;;
273,1;2,5693;2976,4;0,051386;;;
273,6;2,576;2976,4;0,05152;;;
274,1;2,5822;2976,4;0,051644;;;
274,6;2,5884;2976,4;0,051768;;;
275,1;2,5951;2976,4;0,051902;;;
275,6;2,6013;2979,6;0,052026;;;
276,1;2,608;2979,6;0,05216;;;
276,6;2,6142;2979,6;0,052284;;;
277,1;2,6209;2979,6;0,052418;;;
277,6;2,6271;2979,6;0,052542;;;
278,1;2,6338;2979,6;0,052676;;;
278,6;2,64;2979,6;0,0528;;;
279,1;2,6462;2979,6;0,052924;;;
279,6;2,6529;2979,6;0,053058;;;
280,1;2,6595;2979,6;0,05319;;;
280,6;2,6657;2979,6;0,053314;;;
281,1;2,6724;2979,6;0,053448;;;
281,6;2,6786;2979,6;0,053572;;;
282,1;2,6848;2979,6;0,053696;;;
282,6;2,6915;2979,6;0,05383;;;
283,1;2,6977;2982,8;0,053954;;;
283,6;2,7044;2982,8;0,054088;;;
284,1;2,7106;2982,8;0,054212;;;
284,6;2,7168;2982,8;0,054336;;;
285,1;2,7235;2979,6;0,05447;;;
285,6;2,7302;2979,6;0,054604;;;
286,1;2,7364;2982,8;0,054728;;;
286,6;2,7431;2982,8;0,054862;;;
287,1;2,7493;2982,8;0,054986;;;
287,6;2,7555;2982,8;0,05511;;;
288,1;2,7627;2982,8;0,055254;;;
288,6;2,7689;2982,8;0,055378;;;
289,1;2,7751;2982,8;0,055502;;;
289,6;2,7818;2982,8;0,055636;;;
290,1;2,7885;2982,8;0,05577;;;
290,6;2,7947;2986;0,055894;;;
291,1;2,8009;2982,8;0,056018;;;
291,6;2,8076;2982,8;0,056152;;;
292,1;2,8138;2986;0,056276;;;
292,6;2,8205;2982,8;0,05641;;;
293,1;2,8267;2982,8;0,056534;;;
293,6;2,8334;2982,8;0,056668;;;
294,1;2,8396;2986;0,056792;;;
294,6;2,8463;2986;0,056926;;;
295,1;2,853;2986;0,05706;;;
295,6;2,8596;2986;0,057192;;;
296,1;2,8658;2986;0,057316;;;
296,6;2,8725;2986;0,05745;;;
297,1;2,8787;2986;0,057574;;;
297,6;2,8859;2986;0,057718;;;
298,1;2,8921;2986;0,057842;;;
298,6;2,8988;2986;0,057976;;;
299,1;2,905;2986;0,0581;;;
299,6;2,9117;2986;0,058234;;;
300,1;2,9184;2986;0,058368;;;
300,6;2,9246;2986;0,058492;;;
301,1;2,9308;2986;0,058616;;;
301,6;2,9375;2982,8;0,05875;;;
302,1;2,9437;2986;0,058874;;;
302,6;2,9504;2986;0,059008;;;
303,1;2,9571;2986;0,059142;;;
303,6;2,9633;2986;0,059266;;;
304,1;2,97;2986;0,0594;;;
304,6;2,9762;2986;0,059524;;;
305,1;2,9833;2989,2;0,059666;;;
305,6;2,9895;2989,2;0,05979;;;
306,1;2,9962;2989,2;0,059924;;;
306,6;3,0029;2986;0,060058;;;
307,1;3,0096;2989,2;0,060192;;;
307,6;3,0158;2989,2;0,060316;;;
308,1;3,0225;2989,2;0,06045;;;
308,6;3,0292;2989,2;0,060584;;;
309,1;3,0359;2989,2;0,060718;;;
309,6;3,0425;2989,2;0,06085;;;
310,1;3,0492;2989,2;0,060984;;;
310,6;3,0559;2989,2;0,061118;;;
311,1;3,0626;2989,2;0,061252;;;
311,6;3,0688;2989,2;0,061376;;;
312,1;3,0755;2989,2;0,06151;;;
312,6;3,0822;2989,2;0,061644;;;
313,1;3,0884;2989,2;0,061768;;;
313,6;3,0951;2989,2;0,061902;;;
314,1;3,1013;2989,2;0,062026;;;
314,6;3,108;2989,2;0,06216;;;
315,1;3,1147;2989,2;0,062294;;;
315,6;3,1213;2989,2;0,062426;;;
316,1;3,128;2989,2;0,06256;;;
316,6;3,1347;2989,2;0,062694;;;
317,1;3,1414;2989,2;0,062828;;;
317,6;3,1481;2989,2;0,062962;;;
318,1;3,1548;2989,2;0,063096;;;
318,6;3,1615;2992,4;0,06323;;;
319,1;3,1681;2989,2;0,063362;;;
319,6;3,1748;2989,2;0,063496;;;
320,1;3,1815;2989,2;0,06363;;;
320,6;3,1882;2992,4;0,063764;;;
321,1;3,1949;2989,2;0,063898;;;
321,6;3,2016;2989,2;0,064032;;;
322,1;3,2078;2989,2;0,064156;;;
322,6;3,2145;2989,2;0,06429;;;
323,1;3,2212;2989,2;0,064424;;;
323,6;3,2278;2989,2;0,064556;;;
324,1;3,2345;2992,4;0,06469;;;
324,6;3,2412;2992,4;0,064824;;;
325,1;3,2479;2992,4;0,064958;;;
325,6;3,2546;2992,4;0,065092;;;
326,1;3,2613;2992,4;0,065226;;;
326,6;3,2675;2992,4;0,06535;;;
327,1;3,2742;2992,4;0,065484;;;
327,6;3,2813;2992,4;0,065626;;;
328,1;3,288;2992,4;0,06576;;;
328,6;3,2947;2995,7;0,065894;;;
329,1;3,3014;2992,4;0,066028;;;
329,6;3,3081;2992,4;0,066162;;;
330,1;3,3148;2992,4;0,066296;;;
330,6;3,321;2992,4;0,06642;;;
331,1;3,3281;2992,4;0,066562;;;
331,6;3,3348;2992,4;0,066696;;;
332,1;3,3415;2989,2;0,06683;;;
332,6;3,3482;2992,4;0,066964;;;
333,1;3,3549;2992,4;0,067098;;;
333,6;3,3616;2992,4;0,067232;;;
334,1;3,3682;2992,4;0,067364;;;
334,6;3,3749;2992,4;0,067498;;;
335,1;3,3816;2992,4;0,067632;;;
335,6;3,3878;2992,4;0,067756;;;
336,1;3,395;2995,7;0,0679;;;
336,6;3,4017;2992,4;0,068034;;;
337,1;3,4084;2992,4;0,068168;;;
337,6;3,415;2992,4;0,0683;;;
338,1;3,4222;2992,4;0,068444;;;
338,6;3,4284;2992,4;0,068568;;;
339,1;3,4361;2992,4;0,068722;;;
339,6;3,4427;2992,4;0,068854;;;
340,1;3,4494;2992,4;0,068988;;;
340,6;3,4566;2992,4;0,069132;;;
341,1;3,4633;2992,4;0,069266;;;
341,6;3,47;2992,4;0,0694;;;
342,1;3,4771;2992,4;0,069542;;;
342,6;3,4838;2992,4;0,069676;;;
343,1;3,49;2992,4;0,0698;;;
343,6;3,4972;2992,4;0,069944;;;
344,1;3,5039;2992,4;0,070078;;;
344,6;3,5106;2992,4;0,070212;;;
345,1;3,5172;2992,4;0,070344;;;
345,6;3,5244;2992,4;0,070488;;;
346,1;3,5311;2992,4;0,070622;;;
346,6;3,5378;2992,4;0,070756;;;
347,1;3,5449;2992,4;0,070898;;;
347,6;3,5521;2992,4;0,071042;;;
348,1;3,5588;2992,4;0,071176;;;
348,6;3,5655;2992,4;0,07131;;;
349,1;3,5726;2992,4;0,071452;;;
349,6;3,5793;2992,4;0,071586;;;
350,1;3,586;2992,4;0,07172;;;
350,6;3,5932;2992,4;0,071864;;;
351,1;3,5999;2995,7;0,071998;;;
351,6;3,6065;2992,4;0,07213;;;
352,1;3,6142;2995,7;0,072284;;;
352,6;3,6209;2992,4;0,072418;;;
353,1;3,6276;2992,4;0,072552;;;
353,6;3,6347;2995,7;0,072694;;;
354,1;3,6414;2992,4;0,072828;;;
354,6;3,6481;2992,4;0,072962;;;
355,1;3,6553;2992,4;0,073106;;;
355,6;3,6615;2995,7;0,07323;;;
356,1;3,6686;2992,4;0,073372;;;
356,6;3,6758;2992,4;0,073516;;;
357,1;3,6825;2992,4;0,07365;;;
357,6;3,6892;2992,4;0,073784;;;
358,1;3,6963;2992,4;0,073926;;;
358,6;3,7035;2992,4;0,07407;;;
359,1;3,7102;2992,4;0,074204;;;
359,6;3,7173;2992,4;0,074346;;;
360,1;3,7245;2992,4;0,07449;;;
360,6;3,7312;2992,4;0,074624;;;
361,1;3,7384;2992,4;0,074768;;;
361,6;3,7455;2992,4;0,07491;;;
362,1;3,7522;2992,4;0,075044;;;
362,6;3,7594;2992,4;0,075188;;;
363,1;3,766;2995,7;0,07532;;;
363,6;3,7732;2992,4;0,075464;;;
364,1;3,7799;2992,4;0,075598;;;
364,6;3,7871;2992,4;0,075742;;;
365,1;3,7937;2992,4;0,075874;;;
365,6;3,8009;2992,4;0,076018;;;
366,1;3,8076;2992,4;0,076152;;;
366,6;3,8148;2992,4;0,076296;;;
367,1;3,8214;2992,4;0,076428;;;
367,6;3,8286;2992,4;0,076572;;;
368,1;3,8358;2992,4;0,076716;;;
368,6;3,8425;2992,4;0,07685;;;
369,1;3,8496;2992,4;0,076992;;;
369,6;3,8568;2995,7;0,077136;;;
370,1;3,8635;2992,4;0,07727;;;
370,6;3,8706;2992,4;0,077412;;;
371,1;3,8773;2992,4;0,077546;;;
371,6;3,8845;2995,7;0,07769;;;
372,1;3,8916;2992,4;0,077832;;;
372,6;3,8988;2992,4;0,077976;;;
373,1;3,9055;2992,4;0,07811;;;
373,6;3,9127;2992,4;0,078254;;;
374,1;3,9198;2989,2;0,078396;;;
374,6;3,927;2992,4;0,07854;;;
375,1;3,9337;2992,4;0,078674;;;
375,6;3,9408;2992,4;0,078816;;;
376,1;3,9475;2989,2;0,07895;;;
376,6;3,9552;2992,4;0,079104;;;
377,1;3,9618;2992,4;0,079236;;;
377,6;3,969;2992,4;0,07938;;;
378,1;3,9762;2992,4;0,079524;;;
378,6;3,9833;2992,4;0,079666;;;
379,1;3,9905;2992,4;0,07981;;;
379,6;3,9972;2992,4;0,079944;;;
380,1;4,0044;2992,4;0,080088;;;
380,6;4,012;2992,4;0,08024;;;
381,1;4,0187;2992,4;0,080374;;;
381,6;4,0263;2992,4;0,080526;;;
382,1;4,0335;2992,4;0,08067;;;
382,6;4,0406;2992,4;0,080812;;;
383,1;4,0478;2992,4;0,080956;;;
383,6;4,055;2992,4;0,0811;;;
384,1;4,0617;2992,4;0,081234;;;
384,6;4,0688;2989,2;0,081376;;;
385,1;4,076;2992,4;0,08152;;;
385,6;4,0831;2992,4;0,081662;;;
386,1;4,0903;2989,2;0,081806;;;
386,6;4,097;2992,4;0,08194;;;
387,1;4,1042;2992,4;0,082084;;;
387,6;4,1118;2992,4;0,082236;;;
388,1;4,119;2992,4;0,08238;;;
388,6;4,1261;2992,4;0,082522;;;
389,1;4,1333;2989,2;0,082666;;;
389,6;4,1405;2992,4;0,08281;;;
390,1;4,1476;2992,4;0,082952;;;
390,6;4,1548;2992,4;0,083096;;;
391,1;4,1619;2992,4;0,083238;;;
391,6;4,1696;2992,4;0,083392;;;
392,1;4,1763;2992,4;0,083526;;;
392,6;4,1839;2992,4;0,083678;;;
393,1;4,1911;2992,4;0,083822;;;
393,6;4,1982;2989,2;0,083964;;;
394,1;4,2054;2992,4;0,084108;;;
394,6;4,2126;2992,4;0,084252;;;
395,1;4,2197;2989,2;0,084394;;;
395,6;4,2269;2989,2;0,084538;;;
396,1;4,2341;2992,4;0,084682;;;
396,6;4,2412;2992,4;0,084824;;;
397,1;4,2484;2992,4;0,084968;;;
397,6;4,2555;2989,2;0,08511;;;
398,1;4,2627;2989,2;0,085254;;;
398,6;4,2704;2989,2;0,085408;;;
399,1;4,2775;2992,4;0,08555;;;
399,6;4,2847;2989,2;0,085694;;;
400,1;4,2918;2989,2;0,085836;;;
400,6;4,2995;2992,4;0,08599;;;
401,1;4,3066;2989,2;0,086132;;;
401,6;4,3143;2989,2;0,086286;;;
402,1;4,3215;2989,2;0,08643;;;
402,6;4,3286;2989,2;0,086572;;;
403,1;4,3358;2989,2;0,086716;;;
403,6;4,3434;2992,4;0,086868;;;
404,1;4,3506;2989,2;0,087012;;;
404,6;4,3582;2989,2;0,087164;;;
405,1;4,3654;2989,2;0,087308;;;
405,6;4,3726;2986;0,087452;;;
406,1;4,3797;2989,2;0,087594;;;
406,6;4,3874;2989,2;0,087748;;;
407,1;4,3945;2989,2;0,08789;;;
407,6;4,4017;2989,2;0,088034;;;
408,1;4,4093;2989,2;0,088186;;;
408,6;4,4165;2989,2;0,08833;;;
409,1;4,4241;2989,2;0,088482;;;
409,6;4,4313;2989,2;0,088626;;;
410,1;4,4389;2989,2;0,088778;;;
410,6;4,4461;2989,2;0,088922;;;
411,1;4,4533;2989,2;0,089066;;;
411,6;4,4604;2989,2;0,089208;;;
412,1;4,4685;2986;0,08937;;;
412,6;4,4762;2989,2;0,089524;;;
413,1;4,4833;2989,2;0,089666;;;
413,6;4,4905;2989,2;0,08981;;;
414,1;4,4982;2989,2;0,089964;;;
414,6;4,5058;2989,2;0,090116;;;
415,1;4,513;2986;0,09026;;;
415,6;4,5206;2989,2;0,090412;;;
416,1;4,5278;2989,2;0,090556;;;
416,6;4,5354;2989,2;0,090708;;;
417,1;4,5426;2986;0,090852;;;
417,6;4,5497;2989,2;0,090994;;;
418,1;4,5574;2989,2;0,091148;;;
418,6;4,5641;2986;0,091282;;;
419,1;4,5717;2989,2;0,091434;;;
419,6;4,5793;2986;0,091586;;;
420,1;4,5865;2986;0,09173;;;
420,6;4,5941;2986;0,091882;;;
421,1;4,6013;2986;0,092026;;;
421,6;4,6089;2989,2;0,092178;;;
422,1;4,6166;2986;0,092332;;;
422,6;4,6242;2989,2;0,092484;;;
423,1;4,6314;2986;0,092628;;;
423,6;4,6386;2986;0,092772;;;
424,1;4,6462;2986;0,092924;;;
424,6;4,6538;2986;0,093076;;;
425,1;4,6605;2986;0,09321;;;
425,6;4,6677;2986;0,093354;;;
426,1;4,6758;2986;0,093516;;;
426,6;4,6825;2986;0,09365;;;
427,1;4,6897;2986;0,093794;;;
427,6;4,6973;2982,8;0,093946;;;
428,1;4,7049;2986;0,094098;;;
428,6;4,7121;2986;0,094242;;;
429,1;4,7197;2986;0,094394;;;
429,6;4,7269;2986;0,094538;;;
430,1;4,735;2986;0,0947;;;
430,6;4,7422;2986;0,094844;;;
431,1;4,7493;2986;0,094986;;;
431,6;4,7575;2986;0,09515;;;
432,1;4,7646;2986;0,095292;;;
432,6;4,7718;2982,8;0,095436;;;
433,1;4,7794;2982,8;0,095588;;;
433,6;4,7871;2982,8;0,095742;;;
434,1;4,7942;2986;0,095884;;;
434,6;4,8019;2982,8;0,096038;;;
435,1;4,8095;2986;0,09619;;;
435,6;4,8172;2982,8;0,096344;;;
436,1;4,8243;2986;0,096486;;;
436,6;4,8315;2982,8;0,09663;;;
437,1;4,8391;2982,8;0,096782;;;
437,6;4,8468;2986;0,096936;;;
438,1;4,8544;2982,8;0,097088;;;
438,6;4,8616;2982,8;0,097232;;;
439,1;4,8692;2982,8;0,097384;;;
439,6;4,8764;2982,8;0,097528;;;
440,1;4,884;2982,8;0,09768;;;
440,6;4,8912;2982,8;0,097824;;;
441,1;4,8988;2982,8;0,097976;;;
441,6;4,9065;2982,8;0,09813;;;
442,1;4,9141;2982,8;0,098282;;;
442,6;4,9217;2982,8;0,098434;;;
443,1;4,9289;2982,8;0,098578;;;
443,6;4,9366;2982,8;0,098732;;;
444,1;4,9442;2979,6;0,098884;;;
444,6;4,9518;2982,8;0,099036;;;
445,1;4,9595;2982,8;0,09919;;;
445,6;4,9671;2982,8;0,099342;;;
446,1;4,9743;2979,6;0,099486;;;
446,6;4,9814;2976,4;0,099628;;;
447,1;4,9891;2982,8;0,099782;;;
447,6;4,9967;2982,8;0,099934;;;
448,1;5,0044;2979,6;0,100088;;;
448,6;5,0115;2982,8;0,10023;;;
449,1;5,0192;2982,8;0,100384;;;
449,6;5,0268;2982,8;0,100536;;;
450,1;5,034;2979,6;0,10068;;;
450,6;5,0416;2982,8;0,100832;;;
451,1;5,0493;2979,6;0,100986;;;
451,6;5,0564;2982,8;0,101128;;;
452,1;5,0636;2979,6;0,101272;;;
452,6;5,0717;2979,6;0,101434;;;
453,1;5,0789;2979,6;0,101578;;;
453,6;5,0865;2979,6;0,10173;;;
454,1;5,0941;2979,6;0,101882;;;
454,6;5,1013;2979,6;0,102026;;;
455,1;5,109;2979,6;0,10218;;;
455,6;5,1166;2979,6;0,102332;;;
456,1;5,1242;2979,6;0,102484;;;
456,6;5,1319;2979,6;0,102638;;;
457,1;5,1395;2979,6;0,10279;;;
457,6;5,1472;2979,6;0,102944;;;
458,1;5,1548;2976,4;0,103096;;;
458,6;5,162;2976,4;0,10324;;;
459,1;5,1696;2979,6;0,103392;;;
459,6;5,1772;2979,6;0,103544;;;
460,1;5,1849;2979,6;0,103698;;;
460,6;5,1925;2976,4;0,10385;;;
461,1;5,2002;2979,6;0,104004;;;
461,6;5,2083;2976,4;0,104166;;;
462,1;5,2154;2976,4;0,104308;;;
462,6;5,2236;2976,4;0,104472;;;
463,1;5,2307;2976,4;0,104614;;;
463,6;5,2388;2976,4;0,104776;;;
464,1;5,2465;2976,4;0,10493;;;
464,6;5,2541;2976,4;0,105082;;;
465,1;5,2618;2976,4;0,105236;;;
465,6;5,2699;2976,4;0,105398;;;
466,1;5,2775;2976,4;0,10555;;;
466,6;5,2847;2976,4;0,105694;;;
467,1;5,2923;2976,4;0,105846;;;
467,6;5,3005;2976,4;0,10601;;;
468,1;5,3081;2976,4;0,106162;;;
468,6;5,3157;2976,4;0,106314;;;
469,1;5,3234;2976,4;0,106468;;;
469,6;5,3315;2976,4;0,10663;;;
470,1;5,3387;2976,4;0,106774;;;
470,6;5,3463;2973,2;0,106926;;;
471,1;5,3544;2973,2;0,107088;;;
471,6;5,3621;2976,4;0,107242;;;
472,1;5,3702;2973,2;0,107404;;;
472,6;5,3778;2973,2;0,107556;;;
473,1;5,3859;2973,2;0,107718;;;
473,6;5,3936;2973,2;0,107872;;;
474,1;5,4012;2976,4;0,108024;;;
474,6;5,4093;2973,2;0,108186;;;
475,1;5,4165;2973,2;0,10833;;;
475,6;5,4246;2973,2;0,108492;;;
476,1;5,4327;2976,4;0,108654;;;
476,6;5,4404;2973,2;0,108808;;;
477,1;5,4485;2973,2;0,10897;;;
477,6;5,4561;2973,2;0,109122;;;
478,1;5,4638;2973,2;0,109276;;;
478,6;5,4714;2976,4;0,109428;;;
479,1;5,4791;2973,2;0,109582;;;
479,6;5,4872;2973,2;0,109744;;;
480,1;5,4948;2970;0,109896;;;
480,6;5,5025;2970;0,11005;;;
481,1;5,5106;2973,2;0,110212;;;
481,6;5,5187;2973,2;0,110374;;;
482,1;5,5263;2970;0,110526;;;
482,6;5,534;2973,2;0,11068;;;
483,1;5,5421;2970;0,110842;;;
483,6;5,5502;2970;0,111004;;;
484,1;5,5579;2973,2;0,111158;;;
484,6;5,566;2970;0,11132;;;
485,1;5,5741;2966,8;0,111482;;;
485,6;5,5817;2970;0,111634;;;
486,1;5,5899;2970;0,111798;;;
486,6;5,5975;2970;0,11195;;;
487,1;5,6051;2970;0,112102;;;
487,6;5,6133;2970;0,112266;;;
488,1;5,6209;2970;0,112418;;;
488,6;5,629;2970;0,11258;;;
489,1;5,6371;2970;0,112742;;;
489,6;5,6453;2966,8;0,112906;;;
490,1;5,6529;2970;0,113058;;;
490,6;5,661;2966,8;0,11322;;;
491,1;5,6687;2966,8;0,113374;;;
491,6;5,6768;2970;0,113536;;;
492,1;5,6844;2966,8;0,113688;;;
492,6;5,6925;2966,8;0,11385;;;
493,1;5,7007;2966,8;0,114014;;;
493,6;5,7083;2966,8;0,114166;;;
494,1;5,7164;2966,8;0,114328;;;
494,6;5,7245;2966,8;0,11449;;;
495,1;5,7326;2966,8;0,114652;;;
495,6;5,7403;2966,8;0,114806;;;
496,1;5,7484;2966,8;0,114968;;;
496,6;5,7565;2963,5;0,11513;;;
497,1;5,7642;2963,5;0,115284;;;
497,6;5,7723;2963,5;0,115446;;;
498,1;5,7804;2966,8;0,115608;;;
498,6;5,788;2963,5;0,11576;;;
499,1;5,7962;2963,5;0,115924;;;
499,6;5,8043;2963,5;0,116086;;;
500,1;5,8119;2963,5;0,116238;;;
500,6;5,8196;2963,5;0,116392;;;
501,1;5,8277;2963,5;0,116554;;;
501,6;5,8353;2963,5;0,116706;;;
502,1;5,8434;2963,5;0,116868;;;
502,6;5,8516;2960,3;0,117032;;;
503,1;5,8597;2963,5;0,117194;;;
503,6;5,8678;2963,5;0,117356;;;
504,1;5,8759;2963,5;0,117518;;;
504,6;5,884;2963,5;0,11768;;;
505,1;5,8922;2963,5;0,117844;;;
505,6;5,9003;2960,3;0,118006;;;
506,1;5,9084;2960,3;0,118168;;;
506,6;5,916;2960,3;0,11832;;;
507,1;5,9246;2960,3;0,118492;;;
507,6;5,9327;2960,3;0,118654;;;
508,1;5,9409;2960,3;0,118818;;;
508,6;5,9485;2960,3;0,11897;;;
509,1;5,9561;2960,3;0,119122;;;
509,6;5,9643;2957,1;0,119286;;;
510,1;5,9729;2960,3;0,119458;;;
510,6;5,9805;2960,3;0,11961;;;
511,1;5,9886;2957,1;0,119772;;;
511,6;5,9963;2957,1;0,119926;;;
512,1;6,0039;2957,1;0,120078;;;
512,6;6,0125;2960,3;0,12025;;;
513,1;6,0206;2957,1;0,120412;;;
513,6;6,0287;2957,1;0,120574;;;
514,1;6,0369;2957,1;0,120738;;;
514,6;6,045;2957,1;0,1209;;;
515,1;6,0531;2957,1;0,121062;;;
515,6;6,0612;2953,9;0,121224;;;
516,1;6,0693;2957,1;0,121386;;;
516,6;6,0774;2957,1;0,121548;;;
517,1;6,0856;2957,1;0,121712;;;
517,6;6,0937;2953,9;0,121874;;;
518,1;6,1018;2953,9;0,122036;;;
518,6;6,1099;2953,9;0,122198;;;
519,1;6,118;2953,9;0,12236;;;
519,6;6,1257;2953,9;0,122514;;;
520,1;6,1338;2953,9;0,122676;;;
520,6;6,1419;2953,9;0,122838;;;
521,1;6,15;2953,9;0,123;;;
521,6;6,1577;2953,9;0,123154;;;
522,1;6,1658;2953,9;0,123316;;;
522,6;6,1744;2950,7;0,123488;;;
523,1;6,182;2953,9;0,12364;;;
523,6;6,1906;2950,7;0,123812;;;
524,1;6,1987;2950,7;0,123974;;;
524,6;6,2069;2950,7;0,124138;;;
525,1;6,215;2950,7;0,1243;;;
525,6;6,2236;2950,7;0,124472;;;
526,1;6,2317;2950,7;0,124634;;;
526,6;6,2398;2950,7;0,124796;;;
527,1;6,2479;2950,7;0,124958;;;
527,6;6,2565;2947,5;0,12513;;;
528,1;6,2642;2950,7;0,125284;;;
528,6;6,2723;2947,5;0,125446;;;
529,1;6,2804;2947,5;0,125608;;;
529,6;6,2885;2947,5;0,12577;;;
530,1;6,2966;2947,5;0,125932;;;
530,6;6,3043;2947,5;0,126086;;;
531,1;6,3129;2947,5;0,126258;;;
531,6;6,3205;2947,5;0,12641;;;
532,1;6,3286;2944,3;0,126572;;;
532,6;6,3368;2944,3;0,126736;;;
533,1;6,3454;2947,5;0,126908;;;
533,6;6,353;2944,3;0,12706;;;
534,1;6,3616;2944,3;0,127232;;;
534,6;6,3692;2944,3;0,127384;;;
535,1;6,3778;2944,3;0,127556;;;
535,6;6,386;2944,3;0,12772;;;
536,1;6,3941;2944,3;0,127882;;;
536,6;6,4022;2944,3;0,128044;;;
537,1;6,4108;2941,1;0,128216;;;
537,6;6,4189;2941,1;0,128378;;;
538,1;6,427;2944,3;0,12854;;;
538,6;6,4351;2941,1;0,128702;;;
539,1;6,4437;2941,1;0,128874;;;
539,6;6,4519;2941,1;0,129038;;;
540,1;6,46;2941,1;0,1292;;;
540,6;6,4681;2937,9;0,129362;;;
541,1;6,4762;2941,1;0,129524;;;
